facility_key,facility_name,source_facility_id,care_category,program_type,county,address,city,state,zip,phone,fax,capacity,licensee,administrator,facility_status,license_first_date,closed_date,regional_office,source_file_date,is_active,latitude,longitude,distance_miles_from_center,source_id,source_name,source_url,source_owner,source_detail
"cms-nursing-home-provider-info:025035","UTUQQANAAT INAAT","025035","skilled_nursing","Medicare and Medicaid","NORTHWEST ARCTIC","436 MISSION STREET","KOTZEBUE","AK","99752","9074423321","","18","Legal Business Name Not Available","","ACTIVE","2012-03-15","","","2026-07-01","true","66.8951","-162.59","","cms-nursing-home-provider-info","CMS Nursing Home Provider Information","https://data.cms.gov/provider-data/dataset/4pq5-n9py","Centers for Medicare & Medicaid Services","{""ownership_type"":""Non profit - Corporation"",""average_residents_per_day"":17,""continuing_care_retirement_community"":""N"",""special_focus_status"":"""",""abuse_icon"":""N"",""overall_rating"":5,""health_inspection_rating"":4,""qm_rating"":3,""longstay_qm_rating"":3,""shortstay_qm_rating"":null,""staffing_rating"":5,""chain_name"":"""",""chain_id"":"""",""total_number_of_penalties"":0,""geocoding_footnote"":""""}"
"cms-nursing-home-provider-info:025026","QUYANNA CARE CENTER","025026","skilled_nursing","Medicare and Medicaid","NOME","1100 GREG KRUSCHEK AVENUE","NOME","AK","99762","9074433311","","18","NORTON SOUND HEALTH CORPORATION","","ACTIVE","1994-06-01","","","2026-07-01","true","64.5027","-165.39","","cms-nursing-home-provider-info","CMS Nursing Home Provider Information","https://data.cms.gov/provider-data/dataset/4pq5-n9py","Centers for Medicare & Medicaid Services","{""ownership_type"":""Non profit - Corporation"",""average_residents_per_day"":18.1,""continuing_care_retirement_community"":""N"",""special_focus_status"":"""",""abuse_icon"":""N"",""overall_rating"":5,""health_inspection_rating"":4,""qm_rating"":5,""longstay_qm_rating"":5,""shortstay_qm_rating"":null,""staffing_rating"":null,""chain_name"":"""",""chain_id"":"""",""total_number_of_penalties"":0,""geocoding_footnote"":""""}"
"cms-nursing-home-provider-info:025039","MAPLE SPRINGS OF PALMER","025039","skilled_nursing","Medicare and Medicaid","MATANUSKA-SUSITNA","12130 EAST MAPLE SPRINGS WAY","PALMER","AK","99645","9078026641","","67","MAPLE SPRINGS OF PALMER SNF HOLDINGS LLC","","ACTIVE","2020-05-29","","","2026-07-01","true","61.5977","-149.14","","cms-nursing-home-provider-info","CMS Nursing Home Provider Information","https://data.cms.gov/provider-data/dataset/4pq5-n9py","Centers for Medicare & Medicaid Services","{""ownership_type"":""For profit - Limited Liability company"",""average_residents_per_day"":55,""continuing_care_retirement_community"":""N"",""special_focus_status"":"""",""abuse_icon"":""N"",""overall_rating"":1,""health_inspection_rating"":1,""qm_rating"":2,""longstay_qm_rating"":2,""shortstay_qm_rating"":null,""staffing_rating"":4,""chain_name"":""MAPLE SPRINGS LIVING"",""chain_id"":""333"",""total_number_of_penalties"":2,""geocoding_footnote"":""""}"
"cms-nursing-home-provider-info:025019","PETERSBURG MEDICAL CENTER LTC","025019","skilled_nursing","Medicare and Medicaid","PETERSBURG","103 FRAM STREET","PETERSBURG","AK","99833","9077724291","","15","THE PETERSBURG MEDICAL CENTER","","ACTIVE","1981-01-01","","","2026-07-01","true","56.8125","-132.96","","cms-nursing-home-provider-info","CMS Nursing Home Provider Information","https://data.cms.gov/provider-data/dataset/4pq5-n9py","Centers for Medicare & Medicaid Services","{""ownership_type"":""Government - City/county"",""average_residents_per_day"":10.8,""continuing_care_retirement_community"":""N"",""special_focus_status"":"""",""abuse_icon"":""N"",""overall_rating"":5,""health_inspection_rating"":5,""qm_rating"":4,""longstay_qm_rating"":4,""shortstay_qm_rating"":null,""staffing_rating"":null,""chain_name"":"""",""chain_id"":"""",""total_number_of_penalties"":0,""geocoding_footnote"":""""}"
"cms-nursing-home-provider-info:025024","PROVIDENCE SEWARD MOUNTAIN HAVEN","025024","skilled_nursing","Medicare and Medicaid","KENAI PENINSULA","2203 OAK STREET","SEWARD","AK","99664","9072245241","","40","CITY OF SEWARD","","ACTIVE","1994-01-01","","","2026-07-01","true","60.1328","-149.44","","cms-nursing-home-provider-info","CMS Nursing Home Provider Information","https://data.cms.gov/provider-data/dataset/4pq5-n9py","Centers for Medicare & Medicaid Services","{""ownership_type"":""Government - City"",""average_residents_per_day"":38.9,""continuing_care_retirement_community"":""N"",""special_focus_status"":"""",""abuse_icon"":""N"",""overall_rating"":3,""health_inspection_rating"":3,""qm_rating"":4,""longstay_qm_rating"":4,""shortstay_qm_rating"":null,""staffing_rating"":4,""chain_name"":""PROVIDENCE HEALTH & SERVICES"",""chain_id"":""430"",""total_number_of_penalties"":0,""geocoding_footnote"":""""}"
"cms-nursing-home-provider-info:025032","SEARHC SITKA LONG TERM CARE","025032","skilled_nursing","Medicare and Medicaid","SITKA","209 MOLLER AVENUE","SITKA","AK","99835","9077471701","","19","SOUTHEAST ALASKA REGIONAL HEALTH CONSORTIUM","","ACTIVE","1994-11-23","","","2026-07-01","true","57.0594","-135.34","","cms-nursing-home-provider-info","CMS Nursing Home Provider Information","https://data.cms.gov/provider-data/dataset/4pq5-n9py","Centers for Medicare & Medicaid Services","{""ownership_type"":""Non profit - Corporation"",""average_residents_per_day"":15.8,""continuing_care_retirement_community"":""N"",""special_focus_status"":"""",""abuse_icon"":""N"",""overall_rating"":5,""health_inspection_rating"":4,""qm_rating"":5,""longstay_qm_rating"":5,""shortstay_qm_rating"":null,""staffing_rating"":5,""chain_name"":"""",""chain_id"":"""",""total_number_of_penalties"":0,""geocoding_footnote"":""""}"
"cms-nursing-home-provider-info:025021","HERITAGE PLACE","025021","skilled_nursing","Medicare and Medicaid","KENAI PENINSULA","232 ROCKWELL AVENUE","SOLDOTNA","AK","99669","9072622545","","60","CENTRAL PENINSULA GENERAL HOSPITAL INC","","ACTIVE","1986-07-14","","","2026-07-01","true","60.4932","-151.08","","cms-nursing-home-provider-info","CMS Nursing Home Provider Information","https://data.cms.gov/provider-data/dataset/4pq5-n9py","Centers for Medicare & Medicaid Services","{""ownership_type"":""For profit - Corporation"",""average_residents_per_day"":40.4,""continuing_care_retirement_community"":""N"",""special_focus_status"":"""",""abuse_icon"":""N"",""overall_rating"":4,""health_inspection_rating"":3,""qm_rating"":4,""longstay_qm_rating"":3,""shortstay_qm_rating"":5,""staffing_rating"":5,""chain_name"":"""",""chain_id"":"""",""total_number_of_penalties"":0,""geocoding_footnote"":""""}"
"cms-nursing-home-provider-info:025034","PROVIDENCE VALDEZ MEDICAL CENTER","025034","skilled_nursing","Medicare and Medicaid","CHUGACH","911 MEALS AVENUE","VALDEZ","AK","99686","9078341825","","10","CITY OF VALDEZ","","ACTIVE","2005-10-03","","","2026-07-01","true","61.1363","-146.35","","cms-nursing-home-provider-info","CMS Nursing Home Provider Information","https://data.cms.gov/provider-data/dataset/4pq5-n9py","Centers for Medicare & Medicaid Services","{""ownership_type"":""Government - City"",""average_residents_per_day"":8.9,""continuing_care_retirement_community"":""N"",""special_focus_status"":"""",""abuse_icon"":""N"",""overall_rating"":3,""health_inspection_rating"":3,""qm_rating"":3,""longstay_qm_rating"":3,""shortstay_qm_rating"":null,""staffing_rating"":4,""chain_name"":""PROVIDENCE HEALTH & SERVICES"",""chain_id"":""430"",""total_number_of_penalties"":0,""geocoding_footnote"":""""}"
"cms-nursing-home-provider-info:025038","MAPLE SPRINGS OF WASILLA","025038","skilled_nursing","Medicare and Medicaid","MATANUSKA-SUSITNA","3265 E MERIDIAN LOOP","WASILLA","AK","99654","9078411217","","67","MAPLE SPRINGS OF WASILLA SNF HOLDINGS LLC","","ACTIVE","2019-07-23","","","2026-07-01","true","61.5879","-149.36","","cms-nursing-home-provider-info","CMS Nursing Home Provider Information","https://data.cms.gov/provider-data/dataset/4pq5-n9py","Centers for Medicare & Medicaid Services","{""ownership_type"":""For profit - Limited Liability company"",""average_residents_per_day"":65.1,""continuing_care_retirement_community"":""N"",""special_focus_status"":"""",""abuse_icon"":""N"",""overall_rating"":5,""health_inspection_rating"":4,""qm_rating"":4,""longstay_qm_rating"":3,""shortstay_qm_rating"":4,""staffing_rating"":5,""chain_name"":""MAPLE SPRINGS LIVING"",""chain_id"":""333"",""total_number_of_penalties"":1,""geocoding_footnote"":""""}"
"cms-nursing-home-provider-info:025015","WRANGELL MEDICAL CENTER LTC","025015","skilled_nursing","Medicare and Medicaid","WRANGELL","232 WOOD STREET","WRANGELL","AK","99929","9078747000","","18","SOUTHEAST ALASKA REGIONAL HEALTH CONSORTIUM","","ACTIVE","1976-07-01","","","2026-07-01","true","56.4575","-132.37","","cms-nursing-home-provider-info","CMS Nursing Home Provider Information","https://data.cms.gov/provider-data/dataset/4pq5-n9py","Centers for Medicare & Medicaid Services","{""ownership_type"":""Non profit - Corporation"",""average_residents_per_day"":14.5,""continuing_care_retirement_community"":""N"",""special_focus_status"":"""",""abuse_icon"":""N"",""overall_rating"":5,""health_inspection_rating"":4,""qm_rating"":5,""longstay_qm_rating"":5,""shortstay_qm_rating"":null,""staffing_rating"":5,""chain_name"":"""",""chain_id"":"""",""total_number_of_penalties"":0,""geocoding_footnote"":""""}"
"cms-nursing-home-provider-info:015373","HENRY COUNTY HEALTH AND REHABILITATION FACILITY","015373","skilled_nursing","Medicare and Medicaid","HENRY","212 DOTHAN ROAD","ABBEVILLE","AL","36310","3345852241","","142","HENRY COUNTY NURSING HOME","","ACTIVE","1980-12-12","","","2026-07-01","true","31.5548","-85.253","","cms-nursing-home-provider-info","CMS Nursing Home Provider Information","https://data.cms.gov/provider-data/dataset/4pq5-n9py","Centers for Medicare & Medicaid Services","{""ownership_type"":""Government - County"",""average_residents_per_day"":83,""continuing_care_retirement_community"":""N"",""special_focus_status"":"""",""abuse_icon"":""N"",""overall_rating"":4,""health_inspection_rating"":3,""qm_rating"":3,""longstay_qm_rating"":2,""shortstay_qm_rating"":4,""staffing_rating"":5,""chain_name"":"""",""chain_id"":"""",""total_number_of_penalties"":0,""geocoding_footnote"":""""}"
"cms-nursing-home-provider-info:015411","SHELBY RIDGE NURSING HOME","015411","skilled_nursing","Medicare and Medicaid","SHELBY","881 3RD STREET NORTHEAST","ALABASTER","AL","35007","2056208500","","131","SHELBY RIDGE ACQUISITION CORPORATION","","ACTIVE","1991-01-10","","","2026-07-01","true","33.2541","-86.81","","cms-nursing-home-provider-info","CMS Nursing Home Provider Information","https://data.cms.gov/provider-data/dataset/4pq5-n9py","Centers for Medicare & Medicaid Services","{""ownership_type"":""For profit - Corporation"",""average_residents_per_day"":126.8,""continuing_care_retirement_community"":""N"",""special_focus_status"":"""",""abuse_icon"":""N"",""overall_rating"":3,""health_inspection_rating"":3,""qm_rating"":2,""longstay_qm_rating"":3,""shortstay_qm_rating"":1,""staffing_rating"":3,""chain_name"":""REHAB SELECT"",""chain_id"":""444"",""total_number_of_penalties"":0,""geocoding_footnote"":""""}"
"cms-nursing-home-provider-info:015144","THE HEALTHCARE CENTER AT BUCK CREEK","015144","skilled_nursing","Medicare and Medicaid","SHELBY","850 9TH STREET, NORTHWEST","ALABASTER","AL","35007","2056633859","","198","ALABASTER OPCO, LLC","","ACTIVE","1976-06-01","","","2026-07-01","true","33.2537","-86.827","","cms-nursing-home-provider-info","CMS Nursing Home Provider Information","https://data.cms.gov/provider-data/dataset/4pq5-n9py","Centers for Medicare & Medicaid Services","{""ownership_type"":""For profit - Limited Liability company"",""average_residents_per_day"":185,""continuing_care_retirement_community"":""N"",""special_focus_status"":"""",""abuse_icon"":""N"",""overall_rating"":3,""health_inspection_rating"":3,""qm_rating"":3,""longstay_qm_rating"":4,""shortstay_qm_rating"":2,""staffing_rating"":2,""chain_name"":"""",""chain_id"":"""",""total_number_of_penalties"":3,""geocoding_footnote"":""""}"
"cms-nursing-home-provider-info:015163","ALBERTVILLE NURSING HOME","015163","skilled_nursing","Medicare and Medicaid","MARSHALL","750 ALABAMA HIGHWAY 75 NORTH","ALBERTVILLE","AL","35950","2568781398","","159","ALBERTVILLE HEALTHCARE CENTER, INC.","","ACTIVE","1977-01-04","","","2026-07-01","true","34.2636","-86.207","","cms-nursing-home-provider-info","CMS Nursing Home Provider Information","https://data.cms.gov/provider-data/dataset/4pq5-n9py","Centers for Medicare & Medicaid Services","{""ownership_type"":""For profit - Corporation"",""average_residents_per_day"":153.5,""continuing_care_retirement_community"":""N"",""special_focus_status"":"""",""abuse_icon"":""N"",""overall_rating"":5,""health_inspection_rating"":4,""qm_rating"":4,""longstay_qm_rating"":4,""shortstay_qm_rating"":4,""staffing_rating"":5,""chain_name"":""REHAB SELECT"",""chain_id"":""444"",""total_number_of_penalties"":0,""geocoding_footnote"":""22""}"
"cms-nursing-home-provider-info:015386","ADAMS REHABILITATION AND HEALTHCARE CENTER","015386","skilled_nursing","Medicare and Medicaid","TALLAPOOSA","1555 HILLABEE STREET","ALEXANDER CITY","AL","35010","2563290847","","88","ADAMS SNF OPERATIONS LLC","","ACTIVE","1984-02-27","","","2026-07-01","true","32.9431","-85.94","","cms-nursing-home-provider-info","CMS Nursing Home Provider Information","https://data.cms.gov/provider-data/dataset/4pq5-n9py","Centers for Medicare & Medicaid Services","{""ownership_type"":""For profit - Limited Liability company"",""average_residents_per_day"":70.9,""continuing_care_retirement_community"":""N"",""special_focus_status"":"""",""abuse_icon"":""N"",""overall_rating"":5,""health_inspection_rating"":5,""qm_rating"":2,""longstay_qm_rating"":3,""shortstay_qm_rating"":1,""staffing_rating"":4,""chain_name"":""VENZA CARE MANAGEMENT"",""chain_id"":""614"",""total_number_of_penalties"":0,""geocoding_footnote"":""""}"
"cms-nursing-home-provider-info:015191","BROWN NURSING HOME","015191","skilled_nursing","Medicare and Medicaid","TALLAPOOSA","2334 WASHINGTON STREET","ALEXANDER CITY","AL","35010","2563299061","","68","BROWN NURSING HOME, LLC","","ACTIVE","1977-11-01","","","2026-07-01","true","32.9521","-85.979","","cms-nursing-home-provider-info","CMS Nursing Home Provider Information","https://data.cms.gov/provider-data/dataset/4pq5-n9py","Centers for Medicare & Medicaid Services","{""ownership_type"":""For profit - Corporation"",""average_residents_per_day"":63.9,""continuing_care_retirement_community"":""N"",""special_focus_status"":"""",""abuse_icon"":""N"",""overall_rating"":4,""health_inspection_rating"":4,""qm_rating"":2,""longstay_qm_rating"":2,""shortstay_qm_rating"":null,""staffing_rating"":3,""chain_name"":""CROWNE HEALTH CARE"",""chain_id"":""174"",""total_number_of_penalties"":0,""geocoding_footnote"":""""}"
"cms-nursing-home-provider-info:015221","CHAPMAN HEALTHCARE CENTER, INC","015221","skilled_nursing","Medicare and Medicaid","TALLAPOOSA","3701 DADEVILLE ROAD","ALEXANDER CITY","AL","35010","2562346366","","188","CHAPMAN HEALTHCARE CENTER, INC.","","ACTIVE","1978-02-01","","","2026-07-01","true","32.9095","-85.922","","cms-nursing-home-provider-info","CMS Nursing Home Provider Information","https://data.cms.gov/provider-data/dataset/4pq5-n9py","Centers for Medicare & Medicaid Services","{""ownership_type"":""For profit - Corporation"",""average_residents_per_day"":145.3,""continuing_care_retirement_community"":""N"",""special_focus_status"":"""",""abuse_icon"":""N"",""overall_rating"":5,""health_inspection_rating"":4,""qm_rating"":2,""longstay_qm_rating"":2,""shortstay_qm_rating"":1,""staffing_rating"":5,""chain_name"":""PRIME HEALTH CARE ENTERPRISES"",""chain_id"":""419"",""total_number_of_penalties"":0,""geocoding_footnote"":""""}"
"cms-nursing-home-provider-info:015137","ALICEVILLE MANOR NURSING HOME","015137","skilled_nursing","Medicare and Medicaid","PICKENS","703 17TH STREET NORTHWEST","ALICEVILLE","AL","35442","2053736307","","100","Legal Business Name Not Available","","ACTIVE","1977-01-01","","","2026-07-01","true","33.1355","-88.168","","cms-nursing-home-provider-info","CMS Nursing Home Provider Information","https://data.cms.gov/provider-data/dataset/4pq5-n9py","Centers for Medicare & Medicaid Services","{""ownership_type"":""For profit - Corporation"",""average_residents_per_day"":93.1,""continuing_care_retirement_community"":""N"",""special_focus_status"":"""",""abuse_icon"":""N"",""overall_rating"":5,""health_inspection_rating"":4,""qm_rating"":4,""longstay_qm_rating"":5,""shortstay_qm_rating"":2,""staffing_rating"":5,""chain_name"":""TRINITY MANAGEMENT, INC."",""chain_id"":""527"",""total_number_of_penalties"":0,""geocoding_footnote"":""""}"
"cms-nursing-home-provider-info:015101","ALTOONA  HEALTH & REHAB","015101","skilled_nursing","Medicare and Medicaid","ETOWAH","6532 WALNUT GROVE ROAD","ALTOONA","AL","35952","2055896394","","50","ALTOONA HEALTH & REHAB, INC.","","ACTIVE","1973-05-01","","","2026-07-01","true","34.0348","-86.319","","cms-nursing-home-provider-info","CMS Nursing Home Provider Information","https://data.cms.gov/provider-data/dataset/4pq5-n9py","Centers for Medicare & Medicaid Services","{""ownership_type"":""For profit - Corporation"",""average_residents_per_day"":44.1,""continuing_care_retirement_community"":""N"",""special_focus_status"":"""",""abuse_icon"":""N"",""overall_rating"":3,""health_inspection_rating"":2,""qm_rating"":4,""longstay_qm_rating"":4,""shortstay_qm_rating"":null,""staffing_rating"":5,""chain_name"":""TRINITY MANAGEMENT, INC."",""chain_id"":""527"",""total_number_of_penalties"":0,""geocoding_footnote"":""""}"
"cms-nursing-home-provider-info:015416","ANDALUSIA MANOR","015416","skilled_nursing","Medicare and Medicaid","COVINGTON","670 MOORE RD","ANDALUSIA","AL","36420","3342224544","","154","ANDALUSIA MANOR LLC","","ACTIVE","1991-04-17","","","2026-07-01","true","31.2815","-86.498","","cms-nursing-home-provider-info","CMS Nursing Home Provider Information","https://data.cms.gov/provider-data/dataset/4pq5-n9py","Centers for Medicare & Medicaid Services","{""ownership_type"":""For profit - Limited Liability company"",""average_residents_per_day"":93.2,""continuing_care_retirement_community"":""N"",""special_focus_status"":"""",""abuse_icon"":""N"",""overall_rating"":4,""health_inspection_rating"":3,""qm_rating"":3,""longstay_qm_rating"":2,""shortstay_qm_rating"":4,""staffing_rating"":5,""chain_name"":"""",""chain_id"":"""",""total_number_of_penalties"":0,""geocoding_footnote"":""""}"
